,Character,Label,Title_score,Title_score_div,Title_in_name,Adj_score,Adj_score_div,Pron_score,Pron_score_div,Mention_count,Book_length,Span,Interaction_count,Char_count
0,Gervaise,f,6.0,0.00881057268722,0.0,33.0,0.0484581497797,300.0,0.440528634361,681.0,9347.0,2043.0,212.0,45.0
1,Coupeau,m,-10.0,-0.0185528756957,0.0,-60.0,-0.111317254174,150.0,0.278293135436,539.0,9347.0,2051.0,187.0,45.0
2,Lantier,m,-1.0,-0.00411522633745,0.0,24.0,0.0987654320988,114.0,0.469135802469,243.0,9347.0,4433.0,89.0,45.0
3,Lorilleux,m,76.0,0.36018957346,0.0,-15.0,-0.0710900473934,-15.0,-0.0710900473934,211.0,9347.0,4612.0,83.0,45.0
4,Boche,f,49.0,0.278409090909,0.0,0.0,0.0,-15.0,-0.0852272727273,176.0,9347.0,4081.0,87.0,45.0
5,Nana,f,0.0,0.0,0.0,-3.0,-0.0198675496689,27.0,0.17880794702,151.0,9347.0,519.0,48.0,45.0
6,Virginie,f,0.0,0.0,0.0,6.0,0.0441176470588,36.0,0.264705882353,136.0,9347.0,2553.0,54.0,45.0
7,Goujet,m,5.0,0.0454545454545,0.0,-3.0,-0.0272727272727,33.0,0.3,110.0,9347.0,7.0,36.0,45.0
8,Poisson,m,3.0,0.037037037037,0.0,0.0,0.0,-12.0,-0.148148148148,81.0,9347.0,4482.0,35.0,45.0
9,Clémence,f,2.0,0.0281690140845,0.0,0.0,0.0,3.0,0.0422535211268,71.0,9347.0,1153.0,25.0,45.0
10,Lerat,f,67.0,1.0,0.0,-3.0,-0.044776119403,3.0,0.044776119403,67.0,9347.0,3692.0,29.0,45.0
11,Mes-Bottes,m,0.0,0.0,0.0,0.0,0.0,-3.0,-0.0491803278689,61.0,9347.0,3220.0,25.0,45.0
12,Étienne,m,0.0,0.0,0.0,0.0,0.0,3.0,0.0555555555556,54.0,9347.0,344.0,27.0,45.0
13,MMadinier,m,0.0,0.0,-49.0,0.0,0.0,0.0,0.0,49.0,9347.0,259.0,20.0,45.0
14,Bibi-la-Grillade,m,0.0,0.0,0.0,0.0,0.0,-3.0,-0.0810810810811,37.0,9347.0,514.0,20.0,45.0
15,Augustine,f,0.0,0.0,0.0,-3.0,-0.0833333333333,9.0,0.25,36.0,9347.0,59.0,15.0,45.0
16,Putois,f,35.0,1.0,0.0,0.0,0.0,3.0,0.0857142857143,35.0,9347.0,4221.0,16.0,45.0
17,Fauconnier,f,31.0,1.0,0.0,0.0,0.0,3.0,0.0967741935484,31.0,9347.0,519.0,18.0,45.0
18,Bazouge,m,-19.0,-0.633333333333,0.0,0.0,0.0,3.0,0.1,30.0,9347.0,4614.0,2.0,45.0
19,Remanjou,f,29.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,9347.0,1023.0,18.0,45.0
20,Lalie,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,9347.0,3155.0,8.0,45.0
21,Bec-Salé,m,0.0,0.0,0.0,0.0,0.0,9.0,0.321428571429,28.0,9347.0,1924.0,25.0,45.0
22,Pauline,f,0.0,0.0,0.0,-3.0,-0.115384615385,3.0,0.115384615385,26.0,9347.0,14.0,21.0,45.0
23,Banban,f,0.0,0.0,0.0,0.0,0.0,4.0,0.153846153846,26.0,9347.0,3582.0,12.0,45.0
24,Gaudron,f,19.0,0.76,0.0,0.0,0.0,0.0,0.0,25.0,9347.0,201.0,14.0,45.0
25,Boit-sans-Soif,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,9347.0,4119.0,25.0,45.0
26,Bru,m,-20.0,-1.0,0.0,0.0,0.0,0.0,0.0,20.0,9347.0,805.0,8.0,45.0
27,Claude,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9347.0,1433.0,14.0,45.0
28,Léonie,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9347.0,5.0,2.0,45.0
29,Fifine,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9347.0,28.0,2.0,45.0
30,Victor,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9347.0,1463.0,7.0,45.0
31,Charles,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9347.0,2422.0,0.0,45.0
32,Titreville,f,2.0,0.285714285714,0.0,0.0,0.0,0.0,0.0,7.0,9347.0,234.0,3.0,45.0
33,Cadet-Cassis,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9347.0,185.0,2.0,45.0
34,Jules,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9347.0,1806.0,6.0,45.0
35,Henriette,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9347.0,18.0,5.0,45.0
36,Auguste,m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9347.0,72.0,1.0,45.0
37,Baquet,f,4.0,0.8,0.0,0.0,0.0,0.0,0.0,5.0,9347.0,6.0,0.0,45.0
